,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
119,Director Data Science,"$139,087",Director Data Science,4.0,Visa,"Foster City, CA","Foster City, CA",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),-1
120,Data Scientist,"$95,000 /yr (est.)",Data Scientist,3.8,Logic20/20 Inc.,"San Jose, CA","San Jose, CA",201 to 500 Employees,2005,Company - Private,Business Consulting,Management & Consulting,$25 to $50 million (USD),-1
121,Data Science Program Manager,"$135,782 /yr (est.)",Data Science Program Manager,4.0,PayPal,"San Jose, CA","San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1
122,Product Science Manager (Data Science),"$220,000 /yr (est.)",Product Science Manager (Data Science),4.4,Indeed,"San Francisco, CA","San Francisco, CA",10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$2 to $5 billion (USD),-1
123,"Director, Data Science & Analytics - Growth","$155,283 /yr (est.)","Director, Data Science & Analytics - Growth",4.2,Roblox,"San Mateo, CA","San Mateo, CA",501 to 1000 Employees,2004,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1
124,"Data Scientist - Analytics, US Safety","$129,063 /yr (est.)","Data Scientist - Analytics, US Safety",3.6,TikTok,"Mountain View, CA","Mountain View, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1
125,"Manager, Product FP&A","$148,317 /yr (est.)","Manager, Product FP&A",4.2,Netflix,"Los Gatos, CA","Los Gatos, CA",5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),-1
126,Director of Product Science,"$157,543 /yr (est.)",Director of Product Science,4.3,FLYR Labs,"San Francisco, CA","San Francisco, CA",201 to 500 Employees,2013,Company - Private,Internet & Web Services,Information Technology,$25 to $50 million (USD),-1
127,Data Science Consultant,"$105,150 /yr (est.)",Data Science Consultant,4.1,Accenture,"San Jose, CA","San Jose, CA",10000+ Employees,1989,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD),-1
128,Principal Product Manager - Data,"$163,330 /yr (est.)",Principal Product Manager - Data,3.7,Fandom,"San Francisco, CA","San Francisco, CA",201 to 500 Employees,2004,Company - Private,Broadcast Media,Media & Communication,$100 to $500 million (USD),-1
129,"Director, Data Science","$310,000 /yr (est.)","Director, Data Science",4.4,Indeed,"San Francisco, CA","San Francisco, CA",10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$2 to $5 billion (USD),-1
130,Machine Learning/Data Science Manager,"$131,266 /yr (est.)",Machine Learning/Data Science Manager,4.6,Iterative Scopes,"San Francisco, CA","San Francisco, CA",1 to 50 Employees,2017,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1
131,"Data Scientist, Trust & Safety - Operations","$115,151 /yr (est.)","Data Scientist, Trust & Safety - Operations",4.2,Roblox,"San Mateo, CA","San Mateo, CA",501 to 1000 Employees,2004,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1
132,Senior Data Scientist,"$135,858 /yr (est.)",Senior Data Scientist,4.0,Visa,"Foster City, CA","Foster City, CA",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),-1
133,"Product Manager, Machine Learning","$155,967 /yr (est.)","Product Manager, Machine Learning",4.3,Meta,"Fremont, CA","Fremont, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1
134,Data Analysis Manager,"$137,685 /yr (est.)",Data Analysis Manager,4.3,Cisco Systems,"San Jose, CA","San Jose, CA",10000+ Employees,1984,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),-1
135,Director of Data Science,"$162,067 /yr (est.)",Director of Data Science,4.3,FLYR Labs,"San Francisco, CA","San Francisco, CA",201 to 500 Employees,2013,Company - Private,Internet & Web Services,Information Technology,$25 to $50 million (USD),-1
136,FP&A Associate,"$54,469 /yr (est.)",FP&A Associate,4.0,Homebound,"San Francisco, CA","San Francisco, CA",51 to 200 Employees,2018,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,-1
137,Data Science Engineering,"$129,864 /yr (est.)",Data Science Engineering,3.9,Western Digital,"San Jose, CA","San Jose, CA",10000+ Employees,1970,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),-1
138,"Director, Data Science","$159,833 /yr (est.)","Director, Data Science",3.9,Gilead Sciences,"Foster City, CA","Foster City, CA",10000+ Employees,1987,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),-1
139,Decision Scientist - Risk,"$128,998 /yr (est.)",Decision Scientist - Risk,4.0,Uber,"San Francisco, CA","San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1
140,Head of Data Science,-1,Head of Data Science,4.0,UnitedMasters,"San Francisco, CA","San Francisco, CA",-1,-1,-1,-1,-1,-1,-1
141,"Data Scientist, Product","$131,591 /yr (est.)","Data Scientist, Product",4.9,Notion,"San Francisco, CA","San Francisco, CA",201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
142,Senior Data Scientist - Analytics,"$163,790 /yr (est.)",Senior Data Scientist - Analytics,3.8,"Twitch Interactive, Inc.","San Francisco, CA","San Francisco, CA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1
143,Machine Learning Researcher,"$125,187 /yr (est.)",Machine Learning Researcher,4.5,Lawrence Livermore National Laboratory,"Livermore, CA","Livermore, CA",5001 to 10000 Employees,1952,Government,National Agencies,Government & Public Administration,$1 to $2 billion (USD),-1
144,"Director, Data Science & Analysis","$150,137 /yr (est.)","Director, Data Science & Analysis",3.9,Cepheid,"Sunnyvale, CA","Sunnyvale, CA",5001 to 10000 Employees,1996,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $2 billion (USD),-1
145,"Manager, Product FP&A","$148,317 /yr (est.)","Manager, Product FP&A",4.2,Netflix,"Los Gatos, CA","Los Gatos, CA",5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),-1
146,"Associate Director, Forecasting Data Science","$131,006 /yr (est.)","Associate Director, Forecasting Data Science",3.4,Wayfair,"Mountain View, CA","Mountain View, CA",10000+ Employees,2002,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$5 to $10 billion (USD),-1
147,"Data Scientist - Analytics, US Safety","$129,063 /yr (est.)","Data Scientist - Analytics, US Safety",3.6,TikTok,"Mountain View, CA","Mountain View, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1
148,"Data Science and Analytics Manager, Creators","$148,940 /yr (est.)","Data Science and Analytics Manager, Creators",4.1,Pinterest,"San Francisco, CA","San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD),-1
149,Director Data Science,"$139,087",Director Data Science,4.0,Visa,"Foster City, CA","Foster City, CA",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),-1
