,Unnamed: 0,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,yearly,Salary,age,state
82,82,Data Scientist,$75.00 /hr (est.),Data Scientist,-1.0,Mint-Technologies,"Richmond, VA","Richmond, VA",-1,-1,-1,-1,-1,-1,-1,1,0,75.00 ,-1, VA
83,83,Data Scientist,"$95,127 /yr (est.)",Data Scientist,3.9,Toyota,"Plano, TX","Plano, TX",10000+ Employees,1957,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1,0,1,"95,127 ",65, TX
84,84,Data Scientist,"$122,500 /yr (est.)",Data Scientist,-1.0,Dataworks,Remote,Remote,1 to 50 Employees,2021,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),-1,0,1,"122,500 ",1,Remote
85,85,Data Scientist II - 100% Remote,"$123,648 /yr (est.)",Data Scientist II - 100% Remote,4.2,Radian,Maryland,Maryland,1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1,0,1,"123,648 ",45,Maryland
86,86,Data Scientist,$87.50 /hr (est.),Data Scientist,5.0,Tricon IT Solutions (For End Clients),"Orlando, FL","Orlando, FL",-1,-1,-1,-1,-1,-1,-1,1,0,87.50 ,-1, FL
87,87,Data Scientist - (Remote),"$112,500 /yr (est.)",Data Scientist - (Remote),4.3,Genentech,"Indianapolis, IN","Indianapolis, IN",10000+ Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),-1,0,1,"112,500 ",46, IN
88,88,Data Scientist (Entry Level),"$79,054 /yr (est.)",Data Scientist (Entry Level),4.4,Revenue Analytics,"Atlanta, GA","Atlanta, GA",51 to 200 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,0,1,"79,054 ",17, GA
89,89,"Data Scientist, Data Science & Modeling","$134,452 /yr (est.)","Data Scientist, Data Science & Modeling",3.1,CardWorks,"South Jordan, UT","South Jordan, UT",501 to 1000 Employees,1987,Company - Private,Banking & Lending,Financial Services,$50 to $100 million (USD),-1,0,1,"134,452 ",35, UT
90,90,Data Scientist or Statistician,"$93,500 /yr (est.)",Data Scientist or Statistician,3.9,UT Southwestern Medical Center,Remote,Remote,10000+ Employees,1943,Hospital,Health Care Services & Hospitals,Healthcare,$2 to $5 billion (USD),-1,0,1,"93,500 ",79,Remote
91,91,Junior Data Scientist,"$80,000 /yr (est.)",Junior Data Scientist,3.7,Acima,"Draper, UT","Draper, UT",501 to 1000 Employees,2013,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable,-1,0,1,"80,000 ",9, UT
92,92,Data Scientist (Junior),"$100,000 /yr (est.)",Data Scientist (Junior),1.4,BDSA,"Louisville, CO","Louisville, CO",-1,-1,-1,-1,-1,-1,-1,0,1,"100,000 ",-1, CO
93,93,Junior Data Scientist,"$57,500 /yr (est.)",Junior Data Scientist,4.3,Augray,"Brookfield, WI","Brookfield, WI",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"57,500 ",8, WI
94,94,Junior Data Scientist,"$100,000 /yr (est.)",Junior Data Scientist,-1.0,Talentheed Inc,Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"100,000 ",-1,Remote
95,95,"Data Scientist, Personalization","$112,574 /yr (est.)","Data Scientist, Personalization",4.2,Spotify,"New York, NY","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"112,574 ",16, NY
96,96,Associate Data Scientist,"$108,513 /yr (est.)",Associate Data Scientist,3.8,T. Rowe Price,"New York, NY","New York, NY",5001 to 10000 Employees,1937,Company - Public,Investment & Asset Management,Financial Services,$2 to $5 billion (USD),-1,0,1,"108,513 ",85, NY
97,97,(Junior / Senior) Data Scientist - Sports Analytics,"$112,500 /yr (est.)",(Junior / Senior) Data Scientist - Sports Analytics,-1.0,Zelus Analytics,"Austin, TX","Austin, TX",-1,-1,-1,-1,-1,-1,-1,0,1,"112,500 ",-1, TX
98,98,Jr. Data Scientist,"$72,500 /yr (est.)",Jr. Data Scientist,-1.0,Net2Aspire,Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"72,500 ",-1,Remote
99,99,"Senior or Staff Data Scientist, Spotify Advertising","$144,096 /yr (est.)","Senior or Staff Data Scientist, Spotify Advertising",4.2,Spotify,"New York, NY","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,0,1,"144,096 ",16, NY
100,100,Data Science & Analytics,"$97,146 /yr (est.)",Data Science & Analytics,5.0,Digital Trike,"South Jordan, UT","South Jordan, UT",-1,-1,-1,-1,-1,-1,-1,0,1,"97,146 ",-1, UT
101,101,Data Scientist,$75.00 /hr (est.),Data Scientist,-1.0,Mint-Technologies,"Richmond, VA","Richmond, VA",-1,-1,-1,-1,-1,-1,-1,1,0,75.00 ,-1, VA
102,102,Data Scientist,"$115,000 /yr (est.)",Data Scientist,-1.0,"3G Federal Solutions, LLC",Remote,Remote,-1,-1,-1,-1,-1,-1,-1,0,1,"115,000 ",-1,Remote
